record,COUNTRY,REGION,SECTOR,INDUSTRY,CAP1,CAP2,CAP3,CAP4,CAP5,CAP6,CAP7,CAP8,CAP9
2283,United States,NAMR,Software,TMT,83,50,50,33,66,66,100,66,100
3201,United States,NAMR,"Providers, Systems & Services",Healthcare,50,17,50,33,50,17,33,33,0
5765,Germany,EMESA,Logistics & Postal Services,TCI,33,33,33,33,33,33,33,33,33
P5,Singapore,APAC,Public Sector,Public Sector,0,0,33,17,17,17,50,33,0
5080,Germany,EMESA,Insurance,Insurance,33,0,33,33,33,33,33,33,33
289,France,EMESA,Retail,Consumer,33,33,66,50,50,17,66,17,83
889,India,APAC,Aerospace & Defense,Industrial Goods,66,66,66,66,66,66,66,100,100
167,Germany,EMESA,Retail,Consumer,66,50,100,100,66,66,100,33,66
496,United States,NAMR,"Devices, Components, and Semiconductors",TMT,50,66,83,66,66,66,66,66,50
2192,United States,NAMR,Software,TMT,17,33,17,0,66,50,0,33,0
949,United States,NAMR,Airline,TCI,66,33,66,100,66,50,100,66,33
5441,Denmark,EMESA,Medtech,Healthcare,66,66,66,83,50,66,33,66,83
3055,Japan,APAC,Automotive & Mobility,Industrial Goods,33,33,17,50,17,50,33,33,83
1031,United States,NAMR,Medtech,Healthcare,33,33,66,50,17,17,50,66,66
1147,Japan,APAC,Media,TMT,66,17,50,33,33,17,33,83,66
P376,United Kingdom,EMESA,Public Sector,Public Sector,100,17,0,66,0,17,33,17,33
P1490,United States,NAMR,Public Sector,Public Sector,17,17,0,0,66,17,33,33,0
P43,United States,NAMR,Public Sector,Public Sector,0,66,0,33,33,0,33,0,66
P1920,United Arab Emirates,EMESA,Public Sector,Public Sector,17,0,17,33,0,33,0,33,0
3132,Germany,EMESA,Logistics & Postal Services,TCI,83,66,17,50,17,33,33,33,17
2661,Germany,EMESA,Telecommunications,TMT,66,50,50,50,66,50,33,50,66
3037,India,APAC,Retail,Consumer,50,50,0,33,33,33,33,50,0
2305,United States,NAMR,Medtech,Healthcare,50,33,50,50,0,50,33,66,50
2567,Denmark,EMESA,Logistics & Postal Services,TCI,33,33,0,50,17,33,17,33,50
5320,United Kingdom,EMESA,Insurance,Insurance,33,0,0,33,0,33,0,33,66
4911,United States,NAMR,Telecommunications,TMT,100,66,66,100,66,66,66,100,66
1734,India,APAC,"Construction, Cities and Infrastructure Development",TCI,50,50,66,66,33,50,50,50,50
2304,United States,NAMR,Retail,Consumer,33,0,17,17,0,17,8,17,0
2501,United States,NAMR,Consumer Products,Consumer,66,33,66,100,33,50,100,50,50
3266,United States,NAMR,Logistics & Postal Services,TCI,83,83,83,83,83,83,83,66,83
738,South Korea,APAC,Oil & Gas,Energy,66,33,33,50,33,33,33,66,33
5523,Australia,APAC,"Construction, Cities and Infrastructure Development",TCI,66,33,33,0,33,33,33,33,33
38,India,APAC,Biopharma,Healthcare,66,33,33,33,33,66,33,66,33
2947,Saudi Arabia,EMESA,"Providers, Systems & Services",Healthcare,17,33,17,33,33,33,33,33,33
1137,United Kingdom,EMESA,Power and Utilities,Energy,66,50,17,0,0,0,17,17,66
1964,Netherlands,EMESA,Chemicals,Industrial Goods,66,33,50,66,33,50,8,50,66
1752,Denmark,EMESA,Logistics & Postal Services,TCI,100,33,33,100,50,100,50,66,33
3191,United Arab Emirates,EMESA,Telecommunications,TMT,66,66,66,66,33,33,66,66,66
2096,United States,NAMR,Chemicals,Industrial Goods,33,66,100,8,66,66,8,100,8
4719,Germany,EMESA,Global Asset Managers,Financial Institutions,83,100,66,66,83,83,100,33,66
37,Germany,EMESA,Automotive & Mobility,Industrial Goods,33,17,33,33,33,33,33,0,33
1704,United States,NAMR,Software,TMT,100,100,100,100,66,100,100,100,83
1975,Germany,EMESA,Power and Utilities,Energy,83,33,33,66,50,50,66,100,33
3460,Germany,EMESA,Automotive & Mobility,Industrial Goods,50,33,33,50,66,33,17,17,17
293,United States,NAMR,Chemicals,Industrial Goods,83,33,66,100,66,66,66,66,33
921,India,APAC,Logistics & Postal Services,TCI,66,66,33,33,33,33,33,66,66
4291,Colombia,EMESA,Oil & Gas,Energy,83,66,50,33,66,66,8,17,50
2788,United States,NAMR,Consumer Products,Consumer,50,33,50,66,0,17,66,50,50
1717,Italy,EMESA,Power and Utilities,Energy,66,66,50,50,66,66,66,33,66
238,Portugal,EMESA,Power and Utilities,Energy,83,66,50,50,33,83,50,50,0
5305,United States,NAMR,Medtech,Healthcare,33,17,17,0,17,33,17,33,17
P104,Egypt,EMESA,Public Sector,Public Sector,50,66,50,66,66,66,33,50,66
1910,Spain,EMESA,Retail,Consumer,50,33,50,66,66,50,33,83,66
1218,Israel,EMESA,Aerospace & Defense,Industrial Goods,66,33,66,66,33,66,83,66,33
6215,United States,NAMR,Metals & Mining,Industrial Goods,66,33,0,0,0,0,0,33,0
4221,Canada,NAMR,Automotive & Mobility,Industrial Goods,66,66,50,83,66,66,83,33,66
2440,Sweden,EMESA,Machinery & Automation incl. Greentech,Industrial Goods,66,83,66,83,50,50,83,33,50
2129,United States,NAMR,Media,TMT,66,33,33,50,33,8,8,33,50
2049,Sweden,EMESA,Medtech,Healthcare,66,0,0,33,0,0,0,33,17
1336,Brazil,NAMR,Power and Utilities,Energy,17,33,33,33,33,33,17,17,0
683,United States,NAMR,"Providers, Systems & Services",Healthcare,33,50,33,33,33,17,8,33,50
1882,United Arab Emirates,EMESA,"Construction, Cities and Infrastructure Development",TCI,33,33,33,33,17,33,33,33,8
1245,United Arab Emirates,EMESA,Banking,Financial Institutions,66,66,66,66,66,100,66,66,66
12,Germany,EMESA,Power and Utilities,Energy,33,33,33,66,66,0,66,66,100
1891,Australia,APAC,Retail,Consumer,50,100,50,66,66,50,66,66,66
1139,Spain,EMESA,Power and Utilities,Energy,66,66,50,66,50,50,33,66,33
1468,Italy,EMESA,Renewables,Energy,83,33,50,100,17,33,66,33,66
1297,Italy,EMESA,Oil & Gas,Energy,50,33,33,66,0,0,33,33,0
5351,United States,NAMR,"Devices, Components, and Semiconductors",TMT,100,33,33,66,66,33,100,0,8
3575,United States,NAMR,Automotive & Mobility,Industrial Goods,83,83,83,83,83,83,83,83,83
5446,United States,NAMR,Oil & Gas,Energy,33,50,33,33,0,0,33,17,17
3087,United States,NAMR,Media,TMT,66,33,50,66,50,50,33,83,17
5374,Japan,APAC,Machinery & Automation incl. Greentech,Industrial Goods,0,0,0,0,17,33,0,33,0
5040,Germany,EMESA,Software,TMT,66,17,0,100,33,33,100,50,17
3652,Sweden,EMESA,Global Asset Managers,Financial Institutions,66,50,66,66,83,50,83,66,66
5489,France,EMESA,Metals & Mining,Industrial Goods,66,33,66,66,66,66,33,33,33
2106,Germany,EMESA,Insurance,Insurance,50,33,50,50,66,66,33,33,33
1387,Sweden,EMESA,Telecommunications,TMT,33,66,66,50,100,50,66,66,50
1088,Austria,EMESA,Banking,Financial Institutions,50,33,50,33,33,17,66,66,100
243,France,EMESA,Fashion & Luxury,Consumer,17,33,17,50,17,0,33,33,66
1325,Sweden,EMESA,Consumer Products,Consumer,50,50,50,66,50,66,33,33,66
145,Ethiopia,EMESA,Airline,TCI,33,33,17,50,50,50,33,33,33
5291,United Arab Emirates,EMESA,Telecommunications,TMT,66,100,33,66,100,33,66,66,100
471,Kazakhstan,APAC,Metals & Mining,Industrial Goods,33,0,0,33,33,0,17,33,33
1613,Greece,EMESA,Banking,Financial Institutions,66,83,66,50,66,66,50,8,66
1642,United States,NAMR,Payments & Fintech,Financial Institutions,33,33,50,33,50,33,0,33,33
2960,United States,NAMR,Payments & Fintech,Financial Institutions,66,0,8,66,33,33,8,33,0
P749,Germany,EMESA,Public Sector,Public Sector,66,33,66,33,33,33,66,33,66
1219,United States,NAMR,Medtech,Healthcare,33,0,33,66,0,33,66,33,33
502,United States,NAMR,Power and Utilities,Energy,50,50,33,83,50,83,66,100,66
305,United States,NAMR,Airline,TCI,66,66,100,100,0,8,66,66,0
2792,United States,NAMR,Logistics & Postal Services,TCI,83,50,8,66,50,8,50,83,33
1756,United States,NAMR,Software,TMT,33,50,50,33,33,50,50,50,66
3510,Chile,EMESA,Retail,Consumer,50,66,17,66,33,33,8,33,0
733,Japan,APAC,Retail,Consumer,33,33,33,17,33,33,33,50,33
4190,United States,NAMR,Automotive & Mobility,Industrial Goods,66,66,33,33,33,66,8,33,66
947,United Kingdom,EMESA,Fashion & Luxury,Consumer,100,33,0,66,17,0,8,33,33
P813,Germany,EMESA,Public Sector,Public Sector,66,50,33,33,33,66,33,33,50
P812,Nigeria,EMESA,Public Sector,Public Sector,83,50,50,66,50,50,50,50,50
P647,Germany,EMESA,Public Sector,Public Sector,50,33,8,50,17,17,33,66,17
3987,United States,NAMR,Global Asset Managers,Financial Institutions,66,50,66,50,33,50,33,50,33
2405,United States,NAMR,Logistics & Postal Services,TCI,0,0,17,50,50,50,17,17,17
5905,Taiwan,APAC,Fashion & Luxury,Consumer,100,50,66,83,0,66,33,83,66
2177,Italy,EMESA,Automotive & Mobility,Industrial Goods,66,17,0,66,0,33,0,33,33
927,Italy,EMESA,Consumer Products,Consumer,66,33,33,66,33,17,33,66,50
5307,United States,NAMR,Chemicals,Industrial Goods,66,17,50,66,33,50,33,50,33
1906,Netherlands,EMESA,"Construction, Cities and Infrastructure Development",TCI,66,66,66,33,50,66,50,100,66
1711,Germany,EMESA,Machinery & Automation incl. Greentech,Industrial Goods,66,33,33,33,66,50,50,33,33
1924,Angola,EMESA,Insurance,Insurance,66,17,0,66,0,66,17,50,0
2148,Germany,EMESA,Logistics & Postal Services,TCI,50,17,0,33,17,17,0,50,0
2074,United States,NAMR,Banking,Financial Institutions,100,66,66,100,33,66,66,100,66
2409,Italy,EMESA,Aerospace & Defense,Industrial Goods,66,33,17,50,0,50,17,50,17
149,United Arab Emirates,EMESA,Banking,Financial Institutions,33,0,33,50,0,0,33,33,0
2480,United States,NAMR,Insurance,Insurance,50,66,50,66,50,50,33,100,33
491,United States,NAMR,Software,TMT,100,66,66,100,33,33,33,66,66
2290,Finland,EMESA,Consumer Products,Consumer,66,50,33,66,0,33,33,33,33
3770,Hong Kong,APAC,Logistics & Postal Services,TCI,50,17,50,33,33,33,66,17,17
1774,Australia,APAC,Airline,TCI,66,50,66,66,33,33,50,50,66
1054,India,APAC,Retail,Consumer,66,66,66,33,66,66,33,50,33
5977,Germany,EMESA,Global Asset Managers,Financial Institutions,17,33,0,17,33,33,33,33,8
910,Ireland,EMESA,Media,TMT,50,33,50,66,17,50,50,66,50
2827,Saudi Arabia,EMESA,Airline,TCI,0,0,0,33,0,0,33,17,0
190,New Zealand,APAC,Payments & Fintech,Financial Institutions,83,50,50,66,33,50,66,66,50
1126,New Zealand,APAC,Consumer Products,Consumer,83,66,83,66,66,100,100,83,66
488,India,APAC,Automotive & Mobility,Industrial Goods,0,0,33,33,33,0,33,33,0
767,United States,NAMR,Automotive & Mobility,Industrial Goods,66,33,17,33,0,33,17,66,33
2036,France,EMESA,Automotive & Mobility,Industrial Goods,33,50,33,83,17,50,50,66,66
4040,United States,NAMR,Logistics & Postal Services,TCI,33,0,33,33,0,0,0,33,0
3054,United States,NAMR,Fashion & Luxury,Consumer,17,17,33,0,33,17,0,17,17
5219,Taiwan,APAC,"Devices, Components, and Semiconductors",TMT,66,66,83,50,50,8,50,83,66
2108,United States,NAMR,Global Asset Managers,Financial Institutions,50,8,17,8,0,8,33,33,8
2146,Singapore,APAC,"Construction, Cities and Infrastructure Development",TCI,0,0,0,0,0,0,0,33,0
5447,United States,NAMR,Metals & Mining,Industrial Goods,66,66,33,66,33,66,66,33,66
3203,Germany,EMESA,Medtech,Healthcare,66,83,66,50,50,50,66,50,66
377,Germany,EMESA,Biopharma,Healthcare,83,66,66,50,33,50,50,33,66
2470,Japan,APAC,Biopharma,Healthcare,66,33,50,33,33,50,83,66,33
4952,Japan,APAC,Machinery & Automation incl. Greentech,Industrial Goods,33,0,0,33,17,33,17,33,17
P7,Japan,APAC,Software,TMT,50,66,33,33,50,50,66,66,50
3810,Hong Kong,APAC,Insurance,Insurance,66,66,66,66,66,100,66,66,66
2338,United States,NAMR,Fashion & Luxury,Consumer,66,33,33,33,33,33,66,33,33
1663,United States,NAMR,Software,TMT,66,66,0,66,66,66,66,33,100
2390,United States,NAMR,Medtech,Healthcare,100,83,100,100,83,100,66,100,83
275,United States,NAMR,Insurance,Insurance,33,33,33,66,33,33,33,66,33
3218,United States,NAMR,Software,TMT,66,66,83,66,50,66,100,66,66
3258,Italy,EMESA,Insurance,Insurance,66,100,66,33,100,100,66,66,66
1935,India,APAC,Software,TMT,33,66,66,66,66,66,33,33,66
2112,France,EMESA,Logistics & Postal Services,TCI,83,66,66,66,50,66,66,100,33
517,Switzerland,EMESA,Machinery & Automation incl. Greentech,Industrial Goods,66,50,50,66,33,50,50,50,33
1380,Brazil,NAMR,Metals & Mining,Industrial Goods,100,66,66,66,50,50,66,66,66
P413,Germany,EMESA,Public Sector,Public Sector,17,17,17,17,0,33,17,33,17
5364,China,APAC,Machinery & Automation incl. Greentech,Industrial Goods,83,66,50,66,33,33,66,66,83
5794,Taiwan,APAC,Retail,Consumer,33,0,0,33,33,0,33,33,0
2164,United States,NAMR,Biopharma,Healthcare,66,33,66,33,50,0,50,66,33
5761,Switzerland,EMESA,Consumer Products,Consumer,66,33,33,66,33,66,33,66,33
1880,Switzerland,EMESA,Metals & Mining,Industrial Goods,66,66,66,83,66,83,66,83,100
2351,Switzerland,EMESA,Metals & Mining,Industrial Goods,100,66,66,100,66,100,66,66,66
2630,United States,NAMR,"Devices, Components, and Semiconductors",TMT,33,33,33,66,33,50,66,50,33
3917,Philippines,APAC,Telecommunications,TMT,83,66,50,100,66,50,66,50,66
652,India,APAC,Rail & Hospitality,TCI,50,66,33,17,17,33,17,33,66
5347,Denmark,EMESA,Medtech,Healthcare,66,50,83,50,33,50,33,33,66
514,United States,NAMR,Banking,Financial Institutions,33,50,33,33,33,50,50,50,17
4341,United States,NAMR,Software,TMT,100,83,100,100,100,100,100,100,100
757,Singapore,APAC,Oil & Gas,Energy,66,66,33,50,83,66,8,100,66
4883,Singapore,APAC,Insurance,Insurance,50,33,50,66,50,33,50,66,50
2022,United Kingdom,EMESA,Global Asset Managers,Financial Institutions,33,50,33,66,50,83,17,33,50
2058,Spain,EMESA,Biopharma,Healthcare,33,17,17,33,33,17,17,33,33
2511,France,EMESA,Media,TMT,50,33,50,50,33,33,66,100,50
1969,Denmark,EMESA,Machinery & Automation incl. Greentech,Industrial Goods,66,33,66,100,33,33,8,33,33
1625,Mexico,NAMR,Metals & Mining,Industrial Goods,100,0,66,100,33,66,33,0,33
477,Italy,EMESA,Power and Utilities,Energy,50,50,33,50,50,50,50,100,33
1249,United Kingdom,EMESA,Biopharma,Healthcare,100,100,83,50,100,83,100,100,100
270,Italy,EMESA,Machinery & Automation incl. Greentech,Industrial Goods,50,50,50,66,83,17,50,50,50
2967,United States,NAMR,Insurance,Insurance,66,66,83,66,66,66,66,66,50
3928,Italy,EMESA,Fashion & Luxury,Consumer,66,50,50,50,50,50,50,83,66
2313,United States,NAMR,Software,TMT,33,33,33,33,50,33,33,33,33
723,Sweden,EMESA,Fashion & Luxury,Consumer,33,33,66,0,33,33,33,33,33
214,United States,NAMR,Chemicals,Industrial Goods,17,33,17,17,0,50,50,33,0
6283,China,APAC,Consumer Products,Consumer,83,100,100,100,83,100,83,100,66
5289,United States,NAMR,Oil & Gas,Energy,33,33,50,33,50,50,33,33,50
5804,Hong Kong,APAC,Banking,Financial Institutions,83,50,50,50,66,17,50,100,66
2438,South Korea,APAC,Chemicals,Industrial Goods,17,33,17,66,33,33,17,17,17
3774,Germany,EMESA,Insurance,Insurance,33,33,33,50,66,50,50,33,50
1928,Germany,EMESA,Insurance,Insurance,33,17,33,33,33,0,33,0,33
2528,South Korea,APAC,Aerospace & Defense,Industrial Goods,83,33,83,50,66,66,50,50,0
5401,South Korea,APAC,Machinery & Automation incl. Greentech,Industrial Goods,17,0,0,33,0,0,0,33,0
1448,Germany,EMESA,Logistics & Postal Services,TCI,83,66,83,83,83,50,83,66,66
5319,United Kingdom,EMESA,Oil & Gas,Energy,50,33,50,50,33,33,50,33,50
2346,United States,NAMR,Automotive & Mobility,Industrial Goods,33,0,0,33,0,0,0,0,0
3049,United States,NAMR,"Providers, Systems & Services",Healthcare,50,17,66,83,83,50,66,83,17
1911,India,APAC,Software,TMT,66,50,50,66,66,50,66,66,33
753,India,APAC,Banking,Financial Institutions,66,33,66,66,33,66,66,33,33
4760,India,APAC,Insurance,Insurance,50,33,50,66,17,66,17,33,0
306,United States,NAMR,"Providers, Systems & Services",Healthcare,83,66,66,66,33,66,33,100,100
825,United States,NAMR,Consumer Products,Consumer,66,50,33,66,33,33,33,50,50
2644,United States,NAMR,Automotive & Mobility,Industrial Goods,8,66,17,17,8,0,0,33,66
3777,Greece,EMESA,Oil & Gas,Energy,66,83,100,66,8,83,83,83,66
1619,Germany,EMESA,Logistics & Postal Services,TCI,33,33,33,33,33,33,8,33,33
2477,Germany,EMESA,Consumer Products,Consumer,33,50,66,50,50,50,50,50,66
362,India,APAC,Automotive & Mobility,Industrial Goods,66,33,33,66,50,66,50,50,66
1158,United States,NAMR,Automotive & Mobility,Industrial Goods,83,50,66,66,50,66,66,33,17
1346,United States,NAMR,"Devices, Components, and Semiconductors",TMT,50,33,33,33,17,17,33,33,50
832,United States,NAMR,Oil & Gas,Energy,17,17,0,17,0,17,17,17,33
5485,United States,NAMR,Insurance,Insurance,33,33,50,50,33,50,0,33,66
5682,Singapore,APAC,Global Asset Managers,Financial Institutions,66,66,33,66,33,33,8,66,33
287,United States,NAMR,Rail & Hospitality,TCI,66,33,33,50,50,50,66,100,33
269,India,APAC,Metals & Mining,Industrial Goods,66,66,17,66,50,50,33,33,50
P1854,India,APAC,Oil & Gas,Energy,50,50,50,33,50,33,33,66,33
2490,United States,NAMR,Insurance,Insurance,66,33,8,33,33,66,66,50,66
5685,China,APAC,"Devices, Components, and Semiconductors",TMT,0,0,0,0,0,0,0,0,0
200,Mauritius,EMESA,Payments & Fintech,Financial Institutions,33,33,100,66,66,33,33,33,0
P825,United Kingdom,EMESA,Public Sector,Public Sector,50,0,66,66,33,66,0,33,50
3119,United States,NAMR,Medtech,Healthcare,33,33,33,17,17,33,17,17,33
5417,United States,NAMR,Media,TMT,17,33,17,33,33,17,33,17,17
2019,Japan,APAC,Automotive & Mobility,Industrial Goods,100,33,66,33,66,66,66,66,100
4653,United States,NAMR,Aerospace & Defense,Industrial Goods,100,100,100,66,100,100,66,66,66
411,United States,NAMR,Retail,Consumer,50,33,33,50,33,50,33,66,17
1741,United States,NAMR,Rail & Hospitality,TCI,66,50,50,66,50,33,83,66,83
1056,United States,NAMR,"Devices, Components, and Semiconductors",TMT,83,33,33,66,33,33,8,66,33
820,United Kingdom,EMESA,Banking,Financial Institutions,33,33,33,100,0,33,33,33,33
1660,Germany,EMESA,Fashion & Luxury,Consumer,50,17,33,33,0,33,8,33,33
3692,Italy,EMESA,"Providers, Systems & Services",Healthcare,50,17,33,33,33,50,33,33,17
815,United States,NAMR,Aerospace & Defense,Industrial Goods,66,50,66,66,33,50,83,100,33
510,United States,NAMR,Automotive & Mobility,Industrial Goods,50,33,33,50,33,33,17,66,33
6615,New Zealand,APAC,Insurance,Insurance,66,66,66,83,50,66,33,66,83
2513,Spain,EMESA,Airline,TCI,83,66,83,66,17,50,66,83,66
308,United States,NAMR,Software,TMT,100,100,66,100,66,100,100,100,100
426,India,APAC,Insurance,Insurance,66,66,66,33,0,33,66,100,66
4720,United States,NAMR,Media,TMT,83,33,33,66,33,8,17,50,17
370,Malaysia,APAC,"Providers, Systems & Services",Healthcare,83,66,50,66,50,66,66,83,66
1141,India,APAC,Banking,Financial Institutions,66,33,66,66,66,66,66,33,66
2455,Netherlands,EMESA,Retail,Consumer,50,66,33,100,33,50,50,66,66
3834,Germany,EMESA,Insurance,Insurance,33,33,33,33,33,33,0,66,33
2142,France,EMESA,Metals & Mining,Industrial Goods,33,0,8,0,0,0,8,0,0
606,Canada,NAMR,Biopharma,Healthcare,83,83,100,100,83,50,66,100,83
2964,United Kingdom,EMESA,Banking,Financial Institutions,66,66,83,66,50,50,66,50,66
121,United Kingdom,EMESA,Consumer Products,Consumer,50,66,83,66,50,66,33,50,66
2285,Singapore,APAC,Insurance,Insurance,0,33,66,33,0,33,33,33,33
2436,India,APAC,Insurance,Insurance,66,66,66,66,83,83,66,100,66
156,India,APAC,Airline,TCI,17,33,50,17,17,33,33,33,0
2449,Indonesia,APAC,Renewables,Energy,66,33,66,83,66,33,66,50,50
P1719,Indonesia,APAC,Global Asset Managers,Financial Institutions,17,17,33,33,0,17,0,33,0
643,Thailand,APAC,Chemicals,Industrial Goods,8,8,33,66,8,66,33,33,8
2244,Spain,EMESA,Aerospace & Defense,Industrial Goods,66,33,17,33,0,17,17,83,66
669,India,APAC,Banking,Financial Institutions,33,0,0,33,17,0,0,33,0
2297,Spain,EMESA,Fashion & Luxury,Consumer,100,50,33,83,50,33,100,83,50
3822,United Kingdom,EMESA,Chemicals,Industrial Goods,33,0,0,17,0,0,0,33,17
1439,Germany,EMESA,"Devices, Components, and Semiconductors",TMT,33,33,33,17,33,33,8,33,33
2772,India,APAC,Software,TMT,83,83,83,100,50,66,83,66,83
143,Netherlands,EMESA,Banking,Financial Institutions,66,66,66,83,66,83,50,66,66
P1488,Italy,EMESA,Public Sector,Public Sector,83,83,66,66,17,83,66,33,50
1020,United States,NAMR,Global Asset Managers,Financial Institutions,33,100,66,66,66,66,66,8,66
2481,United States,NAMR,Retail,Consumer,66,100,50,100,100,66,83,83,66
4745,Taiwan,APAC,Software,TMT,66,50,0,66,50,33,66,83,66
2495,United States,NAMR,"Devices, Components, and Semiconductors",TMT,50,33,50,33,33,17,0,33,0
P747,United Kingdom,EMESA,Public Sector,Public Sector,50,33,0,33,50,50,0,50,0
381,United Kingdom,EMESA,Rail & Hospitality,TCI,0,0,0,0,0,66,0,0,0
2462,United States,NAMR,Chemicals,Industrial Goods,33,0,33,66,33,0,33,33,33
2721,United States,NAMR,Media,TMT,33,66,33,0,0,33,33,66,0
813,Italy,EMESA,Banking,Financial Institutions,66,50,50,50,33,33,50,66,66
3143,United States,NAMR,Payments & Fintech,Financial Institutions,50,33,66,50,66,66,66,50,66
2042,United States,NAMR,Medtech,Healthcare,83,83,33,50,66,50,66,66,83
1965,United States,NAMR,Global Asset Managers,Financial Institutions,50,33,33,66,33,50,66,50,66
1638,France,EMESA,Biopharma,Healthcare,50,33,66,33,33,33,8,50,17
5409,United Kingdom,EMESA,Global Asset Managers,Financial Institutions,83,50,83,66,17,66,66,66,83
745,United States,NAMR,Payments & Fintech,Financial Institutions,66,66,66,66,100,66,100,66,66
2353,Saudi Arabia,EMESA,Retail,Consumer,0,0,0,0,0,0,8,0,0
1120,Ireland,EMESA,Biopharma,Healthcare,33,33,33,33,0,0,33,33,33
4921,United States,NAMR,Machinery & Automation incl. Greentech,Industrial Goods,50,33,17,50,17,33,17,33,0
642,United Kingdom,EMESA,Airline,TCI,100,33,33,100,0,33,0,33,33
256,United States,NAMR,Airline,TCI,33,50,50,50,50,33,33,50,33
648,India,APAC,Chemicals,Industrial Goods,66,33,33,66,33,33,66,66,33
2492,United States,NAMR,"Construction, Cities and Infrastructure Development",TCI,66,0,0,33,0,0,0,66,66
2147,United States,NAMR,Machinery & Automation incl. Greentech,Industrial Goods,66,83,83,66,66,66,66,83,66
4036,United States,NAMR,Insurance,Insurance,100,100,66,66,66,66,100,66,100
1814,United States,NAMR,"Providers, Systems & Services",Healthcare,66,66,66,66,50,66,66,100,66
242,United States,NAMR,Biopharma,Healthcare,66,50,66,83,66,66,66,83,100
973,United States,NAMR,Consumer Products,Consumer,83,33,50,17,33,17,33,33,100
1019,Ireland,EMESA,Machinery & Automation incl. Greentech,Industrial Goods,66,83,83,83,66,66,66,66,83
1335,United Kingdom,EMESA,Chemicals,Industrial Goods,33,33,17,33,33,17,8,33,17
2132,United States,NAMR,Banking,Financial Institutions,100,100,100,100,83,83,66,83,100
5360,United States,NAMR,Banking,Financial Institutions,100,83,100,100,100,100,100,100,100
2728,India,APAC,Metals & Mining,Industrial Goods,66,33,33,66,33,17,33,33,0
P1887,Singapore,APAC,"Construction, Cities and Infrastructure Development",TCI,66,50,50,50,50,50,50,66,50
1140,India,APAC,Retail,Consumer,66,66,66,83,66,66,66,66,50
1921,Schweiz,EMESA,Global Asset Managers,Financial Institutions,0,33,0,0,17,0,0,33,8
1418,United States,NAMR,"Devices, Components, and Semiconductors",TMT,100,100,83,100,100,100,66,100,83
5801,United Kingdom,EMESA,Global Asset Managers,Financial Institutions,66,33,0,0,33,0,0,33,33
3052,Netherlands,EMESA,Retail,Consumer,83,66,83,83,66,0,83,66,100
249,India,APAC,"Construction, Cities and Infrastructure Development",TCI,33,100,50,50,66,66,50,66,17
1013,Japan,APAC,Consumer Products,Consumer,66,66,33,66,66,66,66,33,66
2079,Germany,EMESA,Medtech,Healthcare,83,66,100,8,50,50,66,66,100
1388,Germany,EMESA,Retail,Consumer,0,0,33,66,33,0,50,66,0
2959,Japan,APAC,Telecommunications,TMT,50,33,0,17,50,33,33,50,0
2485,Kenya,EMESA,Airline,TCI,33,66,66,33,33,50,33,66,33
1480,France,EMESA,Fashion & Luxury,Consumer,66,33,17,33,17,33,0,33,33
1303,Ireland,EMESA,Consumer Products,Consumer,66,33,50,50,17,66,50,50,66
3561,Hong Kong,APAC,Logistics & Postal Services,TCI,66,66,83,66,66,66,66,66,50
3942,Hong Kong,APAC,Logistics & Postal Services,TCI,33,33,33,33,33,33,33,33,0
4549,United States,NAMR,Consumer Products,Consumer,50,17,0,66,17,33,33,50,50
1458,United States,NAMR,Software,TMT,100,100,100,100,66,66,100,100,66
2657,South Korea,APAC,Automotive & Mobility,Industrial Goods,66,33,66,66,33,83,50,66,50
1254,United States,NAMR,Oil & Gas,Energy,33,33,33,33,0,33,0,33,33
2765,United Kingdom,EMESA,Retail,Consumer,33,66,66,100,66,33,33,33,66
2793,Canada,NAMR,Metals & Mining,Industrial Goods,33,33,33,33,33,33,33,33,0
3773,Japan,APAC,"Devices, Components, and Semiconductors",TMT,66,33,66,83,33,66,33,66,33
3939,United States,NAMR,Global Asset Managers,Financial Institutions,66,66,8,83,8,8,8,83,83
263,Sweden,EMESA,Payments & Fintech,Financial Institutions,66,66,83,83,100,66,66,66,50
3076,Germany,EMESA,Automotive & Mobility,Industrial Goods,33,50,66,33,33,33,50,33,66
1889,Sweden,EMESA,Automotive & Mobility,Industrial Goods,50,50,66,50,66,50,50,50,33
5287,Finland,EMESA,Machinery & Automation incl. Greentech,Industrial Goods,83,66,83,66,83,66,66,33,33
1883,Finland,EMESA,Machinery & Automation incl. Greentech,Industrial Goods,33,66,33,33,33,33,0,33,33
3073,Netherlands,EMESA,Telecommunications,TMT,66,50,50,50,33,33,8,50,83
2120,United States,NAMR,Retail,Consumer,33,0,33,17,33,0,33,17,33
1755,India,APAC,Banking,Financial Institutions,0,33,33,33,33,66,50,0,33
4404,India,APAC,Insurance,Insurance,0,8,8,8,33,0,8,66,66
2136,United States,NAMR,Software,TMT,66,66,66,33,33,66,66,66,66
3833,United States,NAMR,Consumer Products,Consumer,33,0,0,0,0,0,0,66,33
4674,Switzerland,EMESA,Logistics & Postal Services,TCI,83,83,66,83,50,66,66,66,66
1726,Germany,EMESA,Machinery & Automation incl. Greentech,Industrial Goods,33,50,66,50,33,66,50,50,50
1027,United States,NAMR,Software,TMT,66,66,83,66,66,66,66,83,100
2521,Japan,APAC,Biopharma,Healthcare,33,33,17,33,17,33,50,50,66
5410,India,APAC,Banking,Financial Institutions,33,50,8,33,33,50,50,33,33
